drugbank_id,mesh_id,relation,trial_phase,approval_status
DB00879,D015658,treats,,Approved
DB00109,D015658,treats,,Approved
DB00467,D006069,treats,,Approved
DB00467,D014552,treats,,Approved
DB00494,D010300,treats,,Approved
DB00442,D019694,treats,,Approved
DB09335,D014552,treats,,Approved
DB09335,D009177,treats,,Approved
DB09335,D061387,treats,,Approved
DB15293,D003929,treats,,Approved
DB08992,D013035,treats,,Approved
DB01364,D001991,treats,,Approved
DB01364,D020773,treats,,Approved
DB01364,D012223,treats,,Approved
DB01364,D012220,treats,,Approved
DB01364,D012912,treats,,Approved
DB01364,D003139,treats,,Approved
DB00668,D000707,treats,,Approved
DB00668,D007022,treats,,Approved
DB00668,D001987,treats,,Approved
DB00668,D005902,treats,,Approved
DB00668,D004417,treats,,Approved
DB00668,D001991,treats,,Approved
DB00668,D011656,treats,,Approved
DB00518,D020019,treats,,Approved
DB01240,D065627,treats,,Approved
DB01240,D012220,treats,,Approved
DB01240,D003139,treats,,Approved
DB00063,D054058,treats,,Approved
DB01253,D006473,treats,,Approved
DB00696,D008881,treats,,Approved
DB00696,D014653,treats,,Approved
DB00696,D003027,treats,,Approved
DB00303,D018784,treats,,Approved
DB00303,D018410,treats,,Approved
DB00199,D004165,treats,,Approved
DB00199,D009878,treats,,Approved
DB00199,D018410,treats,,Approved
DB00199,D008088,treats,,Approved
DB00199,D001886,treats,,Approved
DB00199,D004894,treats,,Approved
DB00199,D013587,treats,,Approved
DB00199,D061387,treats,,Approved
DB00199,D000152,treats,,Approved
DB00199,D009177,treats,,Approved
DB00199,D006069,treats,,Approved
DB00199,D008581,treats,,Approved
DB00199,D002761,treats,,Approved
DB00199,D014552,treats,,Approved
DB01175,D003865,treats,,Approved
DB00187,D001281,treats,,Approved
DB00736,D015043,treats,,Approved
DB00736,D010437,treats,,Approved
DB00338,D015043,treats,,Approved
DB00338,D010437,treats,,Approved
DB00783,D059268,treats,,Approved
DB00783,D065446,treats,,Approved
DB00783,D000152,treats,,Approved
DB00783,D015663,treats,,Approved
DB01196,D011471,treats,,Approved
DB13167,D010146,treats,,Approved
DB00903,D004487,treats,,Approved
DB13799,D004827,treats,,Approved
DB00330,D014397,treats,,Approved
DB00977,D065446,treats,,Approved
DB00977,D000152,treats,,Approved
DB00977,D015663,treats,,Approved
DB00977,D004412,treats,,Approved
DB00977,D059268,treats,,Approved
DB00609,D014397,treats,,Approved
DB01545,D001007,treats,,Approved
DB01545,D003866,treats,,Approved
DB01077,D010001,treats,,Approved
DB09166,D001007,treats,,Approved
DB00749,D010146,treats,,Approved
DB06414,D015658,treats,,Approved
DB00926,D011565,treats,,Approved
