mesh_id,disease_name
D015746,Abdominal Pain
D000013,Congenital Abnormality
D000022,Spontaneous abortion
D000033,Threatened abortion
D000052,Acanthosis Nigricans
D000130,Achondroplasia
D000163,Acquired Immunodeficiency Syndrome
D000168,Apert syndrome
D010195,Acute pancreatitis
D000230,Adenocarcinoma
D000236,Adenoma
D000310,Adrenal Gland Neoplasms
D000341, Psychotic"
D055728,Primary Myelofibrosis
D000380,Agranulocytosis
D000419,Albuminuria
D000437,Alcohol Use Disorder
D000430,Alcohol Withdrawal Delirium
D000435,Alcoholic Intoxication
D000342,Alexithymia
D000471,Alkalosis
D000505,Alopecia
D000506,Alopecia Areata
D000542,Extrinsic allergic alveolitis
D000544,Alzheimer's Disease
D000564,Ameloblastoma
D000647,Amnesia
D002821,Infection of amniotic cavity
D000686,Amyloidosis
D000690,Amyotrophic Lateral Sclerosis
D000740,Anemia
D000741,Aplastic Anemia
D000744,Autoimmune hemolytic anemia
D000748, Macrocytic"
D000749, Megaloblastic"
D000753,Refractory anemias
D000755, Sickle Cell"
D000757,Anencephaly
D000783,Aneurysm
D000094665,Arterial Dissection
D000787,Angina Pectoris
D000789, Unstable"
D000795,Fabry Disease
D000799,Angioedema
D015783,Aniridia
D015858,Anisometropia
D000844,Ankylosis
D000855,Anorexia
D055008,Anthracosis
D000987,Antisocial Personality Disorder
D001002,Anuria
D001006, Imperforate"
D001007,Anxiety
D001008,Anxiety Disorders
D001010,Separation Anxiety Disorder
D001014,Aortic Aneurysm
D001015,Aortic Arch Syndromes
D001018,Aortic Diseases
D001019,Aortic Rupture
D001024,Aortic Valve Stenosis
D001064,Appendicitis
D001145,Cardiac Arrhythmia
D001157,Arterial Occlusive Diseases
D001161,Arteriosclerosis
D001165,Congenital arteriovenous malformation
D018771,Arthralgia
D001168,Arthritis
D015210, Gouty"
D001170, Infectious"
D015535, Psoriatic"
D001172,Rheumatoid Arthritis
D001184,Articulation Disorders
D001195,Asbestosis
D001229, Allergic Bronchopulmonary"
D001238,Asphyxia Neonatorum
D001247,Asthenia
D001249,Asthma
D001254,Astrocytoma
D001259,Ataxia
D001260,Ataxia Telangiectasia
D013132,Hereditary ataxia (disorder)
D050197,Atherosclerosis
D001281,Atrial Fibrillation
D001282,Atrial Flutter
D054537,Atrioventricular Block
D001321,Autistic Disorder
D053713,Azoospermia
D018410, Bacterial"
D001449,Balkan Nephropathy
D001471,Barrett Esophagus
D001477,Bartter Disease
D001478,Basal Cell Nevus Syndrome
D001480,Basal Ganglia Diseases
D001506,Beckwith-Wiedemann Syndrome
D001523,Behavior Disorders
D001526,Behavioral Symptoms
D001528,Behcet Syndrome
D001602,Beriberi
D001607,Berylliosis
D017086,beta Thalassemia
D001650,Bile Duct Neoplasms
D001651, Extrahepatic"
D001656,Biliary Atresia
D001661,Biliary Tract Neoplasm
D001714,Bipolar Disorder
D001749,Malignant neoplasm of urinary bladder
D001745,Urinary Bladder Diseases
D001748,Bladder neck obstruction
D001763,Blepharoptosis
D001778,Blood Coagulation Disorders
D001791,Blood Platelet Disorders
D001835,Body Weight
D001847,Bone Diseases
D001848, Developmental"
D001851,Metabolic Bone Disorder
D001859,Bone neoplasms
D001862,Bone Resorption
D001913,Bowen's Disease
D001927,Brain Diseases
D001928, Metabolic"
D001929,Cerebral Edema
D001932,Brain Neoplasms
D001943,Malignant neoplasm of breast
D001987,Bronchiectasis
D001988,Bronchiolitis
D001989,Bronchiolitis Obliterans
D001997,Bronchopulmonary Dysplasia
D002006,Brucellosis
D002012,Bruxism
D002051,Burkitt Lymphoma
D002100,Cachexia
D002105,Cadmium poisoning
D002114,Calcinosis
D002128,Calcium Metabolism Disorders
D002177,Candidiasis
D002178, Chronic Mucocutaneous"
D002189,Cannabis Abuse
D002277,Carcinoma
D002278,Carcinoma in Situ
D003110,Malignant tumor of colon
D012004,Rectal Carcinoma
D012878,Malignant neoplasm of skin
D002282,Bronchioloalveolar Adenocarcinoma
D002285,Breast Ductal Carcinoma In Situ
D002289,Non-Small Cell Lung Carcinoma
D002292,Renal Cell Carcinoma
D002294,Squamous cell carcinoma
D002295, Transitional Cell"
D002310, Alcoholic"
D002311, Dilated"
D002312,Hypertrophic Cardiomyopathy
D002313,Restrictive cardiomyopathy
D002318,Cardiovascular Diseases
D002340,Carotid Artery Diseases
D002341,Carotid Artery Thrombosis
D016893,Carotid Stenosis
D002375,Catalepsy
D002430,Cecal Neoplasms
D002446,Celiac Disease
D002493,CNS disorder
D002524,Cerebellar Ataxia
D002532,Intracranial Aneurysm
D002538,Intracranial Arteriovenous Malformation
D002544,Cerebral Infarction
D002545,Brain Ischemia
D002546,Transient Ischemic Attack
D002547,Cerebral Palsy
D002561,Cerebrovascular Disorders
