entrez_id,mesh_id,score,ei
19,D000544,0.85,0.9
19,D050197,1.0,0.9634146341463414
19,D002312,0.4,
19,D015179,0.6,1.0
19,D015179,0.5,1.0
19,D003324,0.85,0.9183673469387755
19,D003327,0.75,0.85
19,D003924,0.9,0.9411764705882353
19,D006470,0.5,0.5
19,D006937,0.95,0.9375
19,D006938,0.65,0.8571428571428571
19,D007009,0.45,1.0
19,D007676,0.4,1.0
19,D015473,0.4,1.0
19,D009456,0.4,
19,D009765,0.9,0.8076923076923077
19,D012559,0.6,1.0
19,D013631,1.0,0.9655172413793104
19,D017202,0.65,0.6
19,D052456,0.9,1.0
19,D001943,0.6,0.8888888888888888
19,D006938,0.6,0.9285714285714286
19,D052456,0.75,0.9333333333333333
25,D000230,0.4,1.0
25,D001848,0.4,
25,D002658,0.4,
25,D015179,0.4,
25,D003240,0.4,
25,D004938,0.5,0.5
25,D005183,0.5,1.0
25,D006330,0.65,1.0
25,D015470,0.9,0.9027777777777778
25,D008113,0.55,1.0
25,D008545,0.75,1.0
25,D013771,0.4,
25,D009139,0.4,1.0
25,D015464,1.0,0.9177316293929713
25,D000077195,0.5,1.0
25,D063646,0.75,0.96
25,D009202,0.4,
25,D001943,0.75,0.8
25,D054218,0.85,1.0
60,D001714,0.5,1.0
60,D002277,0.6,1.0
60,D003103,0.5,1.0
60,D004413,0.4,1.0
60,D004421,0.65,1.0
60,D004938,0.4,1.0
60,D006319,0.65,1.0
60,D008175,0.4,1.0
60,D009361,0.4,1.0
60,D012559,0.5,1.0
60,D013921,0.6,1.0
60,D017202,0.4,1.0
60,D000860,0.5,0.5
60,D019465,0.5,1.0
60,D020821,0.6,1.0
60,D009421,0.4,1.0
60,D009375,0.4,1.0
60,D065886,0.6,1.0
60,D006528,0.6,0.8571428571428571
60,D008607,0.65,1.0
60,D056486,0.45,1.0
183,D000419,0.85,0.9130434782608695
183,D000471,0.4,1.0
183,D000740,0.6,1.0
183,D000783,0.85,1.0
183,D000795,0.4,
183,D001002,0.45,1.0
183,D001014,0.75,0.8823529411764706
183,D001145,0.85,1.0
183,D050197,0.75,0.9595959595959596
183,D001281,0.95,0.9736842105263158
183,D001714,0.6,1.0
183,D001943,0.8,0.9655172413793104
183,D002310,0.55,1.0
183,D002312,0.8,0.6923076923076923
183,D002318,1.0,0.9734513274336283
183,D002340,0.5,1.0
183,D002375,0.55,1.0
183,D002561,0.65,0.75
183,D002779,0.4,1.0
183,D003327,0.8,0.9130434782608695
183,D003863,0.85,1.0
183,D003866,0.75,1.0
183,D003928,0.9,0.8313253012048193
183,D003930,0.75,0.8
183,D005317,0.7,0.8
183,D005355,1.0,0.9727272727272728
183,D006471,0.5,1.0
183,D005921,0.65,1.0
183,D005922,0.8,0.7368421052631579
183,D005923,0.7,0.875
183,D006331,0.75,1.0
183,D006332,0.55,1.0
183,D006333,0.9,0.9690721649484536
183,D006333,0.9,0.9661016949152542
183,D006548,0.4,1.0
183,D006869,0.6,1.0
183,D006930,0.55,1.0
183,D006940,0.4,1.0
183,D006946,0.8,0.7
183,D006967,0.7,0.6666666666666666
183,D006973,1.0,0.9084302325581395
183,D006974,0.75,1.0
183,D006977,0.65,0.6666666666666666
183,D006984,0.75,0.9245283018867925
183,D007022,0.85,0.8571428571428571
183,D007249,0.95,0.9655172413793104
183,D015212,0.75,1.0
183,D007511,0.75,0.8333333333333334
183,D007674,0.85,0.8787878787878788
183,D006333,0.4,1.0
183,D008103,0.8,0.875
183,D008945,0.6,1.0
183,D009203,0.95,0.8269230769230769
183,D015428,0.55,1.0
183,D009336,0.55,1.0
183,D009401,0.55,0.5
183,D009765,0.9,0.881578947368421
183,D019965,0.4,1.0
183,D062787,0.4,1.0
183,D010438,0.45,1.0
183,D011014,0.65,1.0
183,D011225,0.95,0.7468354430379747
183,D009202,0.4,1.0
183,D011507,0.85,0.9444444444444444
183,D011654,0.45,1.0
183,D011658,0.75,1.0
183,D011695,0.65,0.8
183,D051437,0.6,1.0
183,D015427,0.55,1.0
183,D012178,0.5,1.0
183,D009202,0.4,1.0
183,D012804,0.55,1.0
183,D020521,0.9,0.8636363636363636
183,D013927,0.65,1.0
183,D014652,0.85,1.0
183,D000075222,1.0,0.8391608391608392
183,D013927,0.65,0.8333333333333334
183,D017379,0.85,0.9285714285714286
183,D017202,0.7,0.8666666666666667
183,D017544,0.75,0.92
183,D018376,0.6,1.0
183,D018149,0.6,0.6666666666666666
183,D000784,0.65,1.0
183,D001919,0.4,1.0
183,D019954,0.4,1.0
183,D004719,0.4,1.0
183,D020138,0.55,1.0
183,D020257,0.65,1.0
183,D001019,0.4,1.0
183,D020758,0.4,1.0
183,D020760,0.4,1.0
183,D058065,0.65,1.0
183,D066126,0.5,1.0
183,D009202,0.65,0.8
183,D054058,0.6,1.0
183,D003324,0.75,0.7307692307692307
183,D013927,0.4,1.0
183,D058426,0.4,1.0
183,D066253,0.4,1.0
183,D056486,0.4,1.0
183,D000086382,0.9,0.9016393442622951
185,D000022,0.5,1.0
185,D000544,0.8,1.0
185,D001943,0.8,0.6666666666666666
185,D002340,0.45,1.0
185,D002561,0.55,1.0
185,D003324,0.8,0.6521739130434783
185,D003327,0.8,0.8636363636363636
185,D003920,0.75,0.8571428571428571
185,D003930,0.65,0.6
185,D004374,0.6,0.6666666666666666
185,D005355,0.8,1.0
185,D005621,0.55,1.0
185,D006332,0.45,1.0
185,D006333,0.85,0.9318181818181818
185,D006333,0.75,0.9183673469387755
185,D006548,0.4,1.0
185,D006973,1.0,0.8653846153846154
185,D006976,0.65,1.0
185,D007511,0.65,1.0
185,D007674,0.85,0.8181818181818182
185,D007676,0.75,0.5
185,D009203,0.95,0.8043478260869565
185,D010911,0.4,1.0
185,D011507,0.9,0.6363636363636364
185,D012507,0.65,1.0
185,D000075222,0.95,0.813953488372093
185,D017202,0.7,0.8571428571428571
185,D017544,0.7,0.8
185,D057772,0.4,1.0
185,D018275,0.4,1.0
185,D018149,0.65,1.0
185,D021441,0.4,1.0
185,D044584,0.5,1.0
185,D000086382,0.9,0.84375
207,D000230,0.85,1.0
207,D001714,0.85,0.8
207,D001714,0.45,1.0
207,D001749,0.85,0.9785714285714285
207,D001749,0.95,0.9787234042553191
207,D001943,0.95,0.9600862998921251
207,D002189,0.4,1.0
207,D003110,0.9,0.9615384615384616
207,D002294,0.9,0.9682539682539683
207,D015179,0.8,1.0
207,D003863,0.75,1.0
207,D003866,0.75,1.0
207,D003924,0.9,0.9405940594059405
207,D004827,0.8,1.0
207,D005234,0.75,0.8421052631578947
207,D005235,0.4,1.0
207,D005355,0.75,0.9811320754716981
207,D006223,0.8,1.0
207,D006332,0.45,1.0
207,D006529,0.65,1.0
207,D006965,0.75,0.8333333333333334
207,D015228,0.65,0.6666666666666666
207,D007249,1.0,0.9624060150375939
207,D006333,0.4,1.0
207,D015473,0.7,1.0
207,D008175,0.9,1.0
207,D001714,0.45,1.0
207,D002189,0.5,1.0
207,D008579,0.95,0.9302325581395349
207,D009133,0.85,1.0
207,D009765,0.95,0.865979381443299
207,D010146,0.75,1.0
207,D010190,0.85,1.0
207,D010300,0.9,0.9571428571428572
207,D011125,0.6,1.0
207,D009202,0.4,1.0
207,D011471,0.9,0.9523809523809523
207,D011618,0.75,0.9130434782608695
207,D012559,1.0,0.8627450980392157
207,D009202,0.4,1.0
207,D012878,0.8,1.0
207,D014397,0.55,1.0
207,D016399,0.85,1.0
207,D016715,1.0,1.0
207,D000077192,0.85,0.9734513274336283
207,D015464,0.8,0.9333333333333333
207,D011471,0.85,0.9845261121856866
207,D065626,0.8,1.0
207,D019964,0.65,1.0
207,D063646,0.85,0.9754098360655737
207,D020257,0.65,1.0
207,D018307,0.4,1.0
207,D009202,0.65,1.0
207,D010051,1.0,1.0
207,D010051,1.0,0.9797979797979798
207,D000077195,0.85,0.97
207,D001943,0.9,0.9753086419753086
207,D006528,0.95,0.9634146341463414
207,D065626,0.7,1.0
238,D000437,0.6,1.0
238,D001932,0.7,1.0
238,D002289,0.95,0.9465648854961832
238,D002292,0.8,0.95
238,D003863,0.55,1.0
238,D003866,0.55,1.0
238,D005729,0.7,1.0
238,D005909,0.9,0.9655172413793104
238,D006104,0.6,1.0
238,D009364,0.4,1.0
238,D009386,0.4,1.0
238,D009447,1.0,0.9342560553633218
238,D012208,0.85,0.9285714285714286
238,D012559,0.65,1.0
238,D016403,0.85,1.0
238,D016726,0.4,1.0
238,D000077192,1.0,0.9352331606217616
